"video_id","title","channel","upload_date","duration_sec","category","brand_or_source","actor","source_url","local_filename"
"IHR158IF6YU","NMBA - Nasha Mukt Bharat Abhiyan #modi #india #ad","Shining Films","20240115","63","Preventive","NMBA_Campaign","Not identified","https://www.youtube.com/watch?v=IHR158IF6YU","Videos\Preventive\IHR158IF6YU.mp4"
"xM2Qcp4ke9k","India - Tobacco Control – Main Bhi Sunita (Sunita 2.0) - Hindi","Vital Strategies","20240813","30","Preventive","VitalStrategies_India","Not identified","https://www.youtube.com/watch?v=xM2Qcp4ke9k","Videos\Preventive\xM2Qcp4ke9k.mp4"
"NSbzJ63aYT4","India – Tobacco Control – When You Quit - Hindi","Vital Strategies","20240813","30","Preventive","VitalStrategies_India","Not identified","https://www.youtube.com/watch?v=NSbzJ63aYT4","Videos\Preventive\NSbzJ63aYT4.mp4"
"SC-3td5-pdY","India - Anti-tobacco campaign - Sickening","Vital Strategies","20190408","36","Preventive","VitalStrategies_India","Not identified","https://www.youtube.com/watch?v=SC-3td5-pdY","Videos\Preventive\SC-3td5-pdY.mp4"
"l8K_f4DVvVc","India - Sponge (Hindi)","Vital Strategies","20150217","36","Preventive","VitalStrategies_India","Not identified","https://www.youtube.com/watch?v=l8K_f4DVvVc","Videos\Preventive\l8K_f4DVvVc.mp4"
"RTc5NgyiGTs","ISFC, Hyd - Anti Alcohol Campaign","dfcglobal","20100929","194","Preventive","ISFC_Hyderabad","Not identified","https://www.youtube.com/watch?v=RTc5NgyiGTs","Videos\Preventive\RTc5NgyiGTs.mp4"
"LVKLxfNguLw","De - Addiction Campaign | We For People | Ngo","We For People","20140204","121","Preventive","NGO_Campaign","Not identified","https://www.youtube.com/watch?v=LVKLxfNguLw","Videos\Preventive\LVKLxfNguLw.mp4"
"wAH0z3cIAL0","Anti Drugs India - An iLEAD campaign","iLEAD Production","20160521","1051","Preventive","NGO_Campaign","Not identified","https://www.youtube.com/watch?v=wAH0z3cIAL0","Videos\Preventive\wAH0z3cIAL0.mp4"
"D4hCpB5nAx0","samajsudhartrust.org, De-addiction Campaign (Nasha Mukti)","Mark Design","20180718","76","Preventive","NGO_Campaign","Not identified","https://www.youtube.com/watch?v=D4hCpB5nAx0","Videos\Preventive\D4hCpB5nAx0.mp4"
wfDje4PdPvE,Rajnigandha TVC East India Company,pathakratneshdel,20101206,49,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=wfDje4PdPvE,Videos\Promotional_NEW\wfDje4PdPvE.mp4
